Restaurant_name,Restaurant_location,Restaurant_cuisine,Restaurant_score,Number_of_reviews
Taleh Thai,Prenzlauer Berg,Thai Restaurant,5.0,360.0
The Reed,Mitte,Contemporary Restaurant,5.5,397.0
GOLVET,Tiergarten,International Restaurant,5.9,68.0
El Colmado,Mitte,Spanish Restaurant,5.5,111.0
Vineria del Este,Friedrichshain,Spanish Restaurant,5.7,166.0
Delizie D'Italia,Prenzlauer Berg,Italian Restaurant,5.0,135.0
Ha-An,Prenzlauer Berg,Vietnamese Restaurant,5.5,369.0
Mogg,Mitte,American Restaurant,5.5,323.0
Feel Seoul Good,Pankow,Asian Restaurant,5.5,114.0
Mitho Cha! P-Berg,Prenzlauer Berg,Asian Restaurant,5.5,131.0
Osteria Fiorello,Prenzlauer Berg,Italian Restaurant,5.0,75.0
SOY Berlin Mitte,Mitte,Vietnamese Restaurant,5.4,229.0
kopps Restaurant,Mitte,Vegan Option,5.4,939.0
India Club Berlin,Mitte,Indian Restaurant,5.4,134.0
Anjoy,Prenzlauer Berg,Vietnamese Restaurant,5.4,162.0
Bonfini,Mitte,Italian Restaurant,5.4,251.0
Vedi's Indisches Restaurant & Cocktailbar,Prenzlauer Berg,Indian Restaurant,5.7,62.0
Yumcha Heroes,Mitte,Asian Restaurant,5.3,718.0
Mirami Restaurant,Kreuzberg,Vietnamese Restaurant,5.4,158.0
DDR Speisegäststätte Pionierlager,Friedrichshain,German Restaurant,5.4,87.0
A Cabana,Prenzlauer Berg,Portuguese Restaurant,5.4,106.0
gärtnerei. restaurant & bar,Mitte,German Restaurant,5.3,199.0
Tbilisi,Prenzlauer Berg,Georgian Restaurant,5.5,252.0
GaYaYa,Mitte,Asian Fusion Restaurant,5.3,84.0
Masel Topf,Prenzlauer Berg,Israeli Restaurant,5.3,781.0
Good Morning Vietnam,Kreuzberg,Vietnamese Restaurant,5.5,93.0
BurgerAMT,Friedrichshain,Burgers,5.5,117.0
Ständige Vertretung (StäV),Mitte,German Restaurant,5.3,301.0
Restaurant Asador,Kreuzberg,Steak Restaurant,5.3,465.0
Lindenbräu am Potsdamer Platz,Tiergarten,German Restaurant,5.3,343.0
Ristorante Cinque,Mitte,Italian Restaurant,5.3,169.0
Café Anna Blume,Prenzlauer Berg,Cake & Coffee,5.3,639.0
Trattoria Felice,Prenzlauer Berg,Italian Restaurant,5.3,315.0
Restaurant Defne,Kreuzberg,Turkish Restaurant,5.3,104.0
Meyan Süßholz,Schöneberg,Mediterranean Restaurant,5.5,122.0
Kurhaus Korsakow,Friedrichshain,German Restaurant,5.4,728.0
Roji - Godai no Sekai,Prenzlauer Berg,Japanese Restaurant,5.7,48.0
Grindhouse Homemade Burgers,Prenzlauer Berg,Burgers,5.2,490.0
Restaurant Van-Long,Mitte,Asian Restaurant,5.2,96.0
CôWei,Kreuzberg,Asian Fusion Restaurant,5.2,69.0
Pho Co Restaurant,Mitte,Vietnamese Restaurant,5.0,47.0
Ristorante Roma Pizzeria,Mitte,Italian Restaurant,5.2,81.0
Nuovo Firenze,Mitte,Italian Restaurant,5.3,66.0
Golden Rice,Mitte,Asian Restaurant,5.2,74.0
LimaLima,Charlottenburg,Italian Restaurant,5.7,124.0
Sorriso Ristorante Italiano,Tiergarten,Italian Restaurant,5.5,65.0
Ristorante Tra di Noi,Tiergarten,Italian Restaurant,5.4,69.0
Aida Ristorante,Charlottenburg,Italian Restaurant,5.7,114.0
Belmondo,Charlottenburg,French Restaurant,5.0,397.0
Palm Beach Mitte,Mitte,Drinks,5.1,101.0
Tres Tapas,Prenzlauer Berg,Spanish Restaurant,5.2,130.0
Restaurant PARIS-MOSKAU,Moabit,International Restaurant,5.2,91.0
Kushinoya,Charlottenburg,Japanese Restaurant,5.7,189.0
The Bird,Prenzlauer Berg,Burgers,5.2,1109.0
Winterfeld,Schöneberg,Italian Restaurant,5.3,127.0
Mamma Monti,Charlottenburg,Italian Restaurant,5.0,90.0
MOKKABAR,Kreuzberg,International Restaurant,5.2,193.0
Mama Cook,Kreuzberg,Vietnamese Restaurant,5.2,75.0
Cafe Sowohl Als Auch,Prenzlauer Berg,Cake & Coffee,5.2,74.0
Chicha,Neukölln,Latin American Restaurant,5.2,499.0
Taverna Hellas Wedding,Wedding,Greek Restaurant,5.5,80.0
Belle Alliance,Kreuzberg,International Restaurant,5.3,70.0
Machiavelli Cafe Bar Restaurant,Mitte,Italian Restaurant,5.1,78.0
Ausspanne,Prenzlauer Berg,German Restaurant,5.0,45.0
Via Nova 2,Mitte,Italian Restaurant,5.0,115.0
Ristorante Café Aroma,Schöneberg,Italian Restaurant,5.3,73.0
Zensation,Friedrichshain,Asian Restaurant,5.0,51.0
Osteria Caruso,Kreuzberg,Italian Restaurant,5.1,378.0
Jolesch,Kreuzberg,International Restaurant,5.0,342.0
Kreuzberger Himmel,Kreuzberg,Syrian Restaurant,5.1,584.0
No Bananas,Kreuzberg,European Restaurant,5.5,50.0
Fire Tiger,Friedrichshain,Asian Restaurant,5.2,64.0
Vivolo Olé,Mitte,Spanish Restaurant,5.0,75.0
Tischlein Deck Dich,Tiergarten,German Restaurant,5.5,49.0
Namaste,Wilmersdorf,Indian Restaurant,5.5,111.0
Augustiner am Gendarmenmarkt,Mitte,German Restaurant,4.9,141.0
Barce Lona,Kreuzberg,Spanish Restaurant,4.9,121.0
Berliner Republik - Brokers Bierbörse,Mitte,German Restaurant,4.9,609.0
Restaurant Hamlet,Wilmersdorf,German Restaurant,5.5,408.0
Bariton,Friedrichshain,Mexican Restaurant,5.1,126.0
Restaurant Attila,Tempelhof,International Restaurant,5.7,310.0
Shikgoo,Wedding,Korean Restaurant,5.2,75.0
Tomasa Villa Kreuzberg,Kreuzberg,European Restaurant,5.2,68.0
I-KE-SU,Wilmersdorf,Sushi,5.4,107.0
Moc,Prenzlauer Berg,Asian Restaurant,5.4,47.0
Samowar,Charlottenburg,Russian Restaurant,5.7,269.0
Enoteca L'Angolino,Charlottenburg,Italian Restaurant,5.3,121.0
Wartesaal,Charlottenburg,Pizza,5.3,580.0
Eden Restaurant Hackescher Markt,Mitte,Vietnamese Restaurant,5.1,50.0
Lychee Restaurant & Bar,Wilmersdorf,Chinese Restaurant,5.5,167.0
Ristorante Focaccino,Charlottenburg,Italian Restaurant,5.7,145.0
AndaLucia,Charlottenburg,Spanish Restaurant,5.3,166.0
Zen Ku'damm I,Charlottenburg,Asian Restaurant,5.3,717.0
Don Quijote,Charlottenburg,Spanish Restaurant,5.4,102.0
Grand Cafe Saint Germain,Charlottenburg,French Restaurant,5.5,60.0
Restaurant Dicke Wirtin,Charlottenburg,European Restaurant,5.5,61.0
Ristorante Don Camillo  - Charlottenburg,Charlottenburg,Italian Restaurant,5.7,488.0
Suksan,Schöneberg,Thai Restaurant,5.1,204.0
Restaurant Jalla Jalla,Prenzlauer Berg,Lebanese Restaurant,5.4,45.0
Roji - Taste of Japan,Pankow,Japanese Restaurant,5.4,59.0
Restaurant Esszimmer,Mitte,International Restaurant,5.5,41.0
Restaurant Al Mundo,Charlottenburg,International Restaurant,5.7,98.0
Chay Village Friedrichshain,Friedrichshain,Vegetarian Option,5.3,46.0
Bruderherz,Charlottenburg,Italian Restaurant,5.0,168.0
Freischwimmer,Kreuzberg,European Restaurant,4.8,821.0
Restaurant Bellucci,Wilmersdorf,Italian Restaurant,5.4,331.0
Marooush Restaurant (Non-Smoker),Charlottenburg,Arabic Restaurant,5.2,572.0
Tian-Fu Berliner Strasse,Wilmersdorf,Chinese Restaurant,5.3,92.0
Black & White,Charlottenburg,Turkish Restaurant,5.1,201.0
Lamazère Brasserie,Charlottenburg,French Restaurant,5.5,1027.0
George's Steakhouse,Wilmersdorf,Steak Restaurant,5.5,51.0
Stock und Stein,Friedrichshain,Steak Restaurant,5.7,37.0
Hopfingerbräu am Brandenburger Tor,Mitte,International Restaurant,5.3,38.0
The My Moon,Reinickendorf,Turkish Restaurant,5.3,100.0
Italofritzen Daily & Restaurant,Mitte,Italian Restaurant,4.5,139.0
THE MEAT,Halensee,International Restaurant,5.4,400.0
MANZINI,Wilmersdorf,International Restaurant,5.2,63.0
LET's GO SYLT,Charlottenburg,German Restaurant,5.0,154.0
Restaurant Tugra,Charlottenburg,Turkish Restaurant,5.4,258.0
Creasian,Mitte,Asian Restaurant,5.1,38.0
Ach! Niko Ach!,Halensee,Greek Restaurant,5.4,529.0
Berliner Kartoffelhaus,Mitte,German Restaurant,5.0,38.0
Restaurant Weiss,Charlottenburg,German Restaurant,5.2,63.0
Osteria Culaccino,Charlottenburg,Italian Restaurant,5.4,47.0
Ristorante Romero,Charlottenburg,Italian Restaurant,5.5,41.0
Schah en Schah,Charlottenburg,Arabic Restaurant,5.0,43.0
ROCCO Charlottenburg,Charlottenburg,Mediterranean Restaurant,5.3,244.0
Maharadscha,Schöneberg,Indian Restaurant,5.4,39.0
Hanoi Deli Kurfürstendamm,Wilmersdorf,Vietnamese Restaurant,5.3,61.0
SodaZitron,Prenzlauer Berg,Austrian Restaurant,5.4,32.0
Rüdiger's,Schöneberg,Austrian Restaurant,5.3,40.0
Marjellchen,Charlottenburg,German Restaurant,5.5,41.0
Restaurant Louis Laurent,Charlottenburg,French Restaurant,5.3,48.0
1987 xigon,Charlottenburg,Asian Fusion Restaurant,5.0,34.0
Restauration 1840,Mitte,German Restaurant,5.0,33.0
Restaurant Split,Kreuzberg,Croatian Restaurant,5.0,28.0
Calcutta,Charlottenburg,Indian Restaurant,5.5,38.0
1687 Restaurant & Cafe,Mitte,Gourmet Restaurant,5.4,27.0
Mondo Pazzo,Charlottenburg,Italian Restaurant,5.2,43.0
Oishinbo,Prenzlauer Berg,Japanese Restaurant,5.0,32.0
Steak-Company,Pankow,Steak Restaurant,4.9,44.0
Gaststätte Deichgraf,Wedding,German Restaurant,5.3,31.0
Bolte's Berliner Steakhaus,Mitte,Steak Restaurant,5.1,27.0
La Vong,Prenzlauer Berg,Asian Restaurant,5.5,26.0
What a Treat,Kreuzberg,International Restaurant,5.5,26.0
Varga Hennecke,Prenzlauer Berg,German Restaurant,5.2,27.0
Zsa Zsa Burger,Schöneberg,Burgers,5.5,29.0
Erdinger am Gendarmenmarkt,Mitte,European Restaurant,5.1,26.0
Marti Fischrestaurant,Tempelhof,Fish Restaurant,5.3,40.0
TROFEO,Moabit,International Restaurant,5.0,41.0
Osteria I Due,Westend,Italian Restaurant,5.2,86.0
Trattoria Pizzeria  LuNa,Schöneberg,Italian Restaurant,5.4,30.0
1000 Grad,Halensee,Asian Restaurant,5.5,39.0
Osteria Angelini,Steglitz,Italian Restaurant,5.3,170.0
Atlantik Fischrestaurant,Schöneberg,Fish Restaurant,4.8,45.0
Restaurant Paran,Kreuzberg,Korean Restaurant,5.4,25.0
Dieselhaus,Mitte,German Restaurant,4.8,27.0
Tutti Gusti,Westend,International Restaurant,5.2,191.0
Mundo - Tapas Bar - Mitte,Mitte,International Restaurant,4.8,27.0
Restaurant Scheune,Westend,German Restaurant,5.5,382.0
Taverna Dionysos,Kreuzberg,Greek Restaurant,5.2,25.0
Chelany Mitte,Mitte,Indian Restaurant,5.8,20.0
Mokka,Moabit,Mediterranean Restaurant,5.4,27.0
Mr. Hai Shabuki,Wilmersdorf,Sushi,5.0,31.0
Ristorante Capitano,Märkisches Viertel,Italian Restaurant,5.7,48.0
Restaurant Sigiriya,Friedrichshain,Sri Lankan Restaurant,5.4,24.0
Tossakan,Prenzlauer Berg,Thai Restaurant,5.2,24.0
Ho Vang,Mitte,Vietnamese Restaurant,5.5,20.0
Golden Fleece,Mitte,Georgian Restaurant,5.0,19.0
Gaststätte Eierschale,Dahlem,International Restaurant,5.2,69.0
Willis Restaurant,Pankow,Asian Fusion Restaurant,5.9,21.0
Kong Vegan 385,Prenzlauer Berg,Vegan Option,5.9,18.0
Papa Nô Prenzlauer Berg,Prenzlauer Berg,Asian Fusion Restaurant,5.3,21.0
Dong A,Charlottenburg,Asian Restaurant,5.4,25.0
Ki Kuriya Japanese Kitchen,Prenzlauer Berg,Japanese Restaurant,5.3,20.0
