Restaurant_name,Restaurant_location,Restaurant_cuisine,Restaurant_score,Number_of_reviews
Ramen Jun Red restaurant,Altstadt,Japanese Restaurant,5.7,147.0
Ramen Jun Westend,Westend,Japanese Restaurant,5.7,178.0
Schandis restaurant,Nordend,International Restaurant,5.0,335.0
Kuli Alma restaurant,Nordend-Ost,Mediterranean Restaurant,5.7,724.0
Leon D'Oro restaurant,Bornheim,Mediterranean Restaurant,5.5,78.0
Restaurant Ambassel,Sachsenhausen,African Restaurant,5.0,68.0
Gioia restaurant,Sachsenhausen,Italian Restaurant,5.4,444.0
Die Leiter,Innenstadt,International Restaurant,5.3,119.0
Questione Di Gusto,Innenstadt,Italian Restaurant,5.4,89.0
Ristorante Gallo Nero,Innenstadt,Italian Restaurant,5.3,165.0
Carmelo Greco,Altstadt,Italian Restaurant,5.4,329.0
Trattoria i Siciliani,Sachsenhausen,Sicilian Restaurant,5.3,136.0
Tischlein deck dich,Nordend-Ost,International Restaurant,5.4,196.0
El Pacifico restaurant,Nordend,International Restaurant,5.3,963.0
Ristorante Isoletta - Feldbergstraße,Westend,Italian Restaurant,5.3,227.0
Cantina Divino,Westend,Italian Restaurant,5.5,60.0
Trattoria Amici Westend,Westend,Italian Restaurant,5.3,98.0
Isoletta PMP⎪Bergerstr.,Nordend-Ost,Italian Restaurant,5.2,159.0
YA'MEDINA,Altstadt,Steak Restaurant,5.2,387.0
Ristorante Casa Isoletta,Sachsenhausen,Italian Restaurant,5.3,202.0
Eschenheimer Turm,Innenstadt,International Restaurant,5.2,489.0
Remos Frankfurt,Westend,Italian Restaurant,5.3,70.0
Rama V,Innenstadt,Thai Restaurant,5.1,453.0
Das Leben ist schön,Ostend,Italian Restaurant,5.2,838.0
Delhi Tandoori,Innenstadt,Indian Restaurant,5.0,160.0
BonVivant,Innenstadt,Mediterranean Restaurant,5.5,45.0
Ciro il lattaio,Innenstadt,Italian Restaurant,4.9,253.0
Wangfu Restaurant,Ostend,Chinese Restaurant,4.9,80.0
Hohenheim & Söhne,Nordend-Ost,Vegan Option,5.0,40.0
Indigo Indisches Restaurant,Bahnhofsviertel,Indian Restaurant,5.3,42.0
Ristorante Colosseo,Sachsenhausen,Italian Restaurant,5.3,39.0
